ClkCycle:          6, pc_rdata: 00000000, pc_wdata: 00000004, insn: 0440006f, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  4, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000004, mem_addr: 00000044, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          8, pc_rdata: 00000044, pc_wdata: 00000048, insn: 00002537, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 10, rd_wdata: 00002000, mem_addr: 00002000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          9, pc_rdata: 00000048, pc_wdata: 0000004c, insn: 80050513, mode: 3, rs1_addr: 10, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 10, rd_wdata: 00001800, mem_addr: 00001800, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         10, pc_rdata: 0000004c, pc_wdata: 00000050, insn: 30052073, mode: 3, rs1_addr: 10, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         11, pc_rdata: 00000050, pc_wdata: 00000054, insn: 00000297, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00000050, mem_addr: 00000050, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         12, pc_rdata: 00000054, pc_wdata: 00000058, insn: fb428293, mode: 3, rs1_addr:  5, rs1_rdata: 00000000, rs2_addr: 20, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00000004, mem_addr: 00000004, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         13, pc_rdata: 00000058, pc_wdata: 0000005c, insn: 30529073, mode: 3, rs1_addr:  5, rs1_rdata: 00000000, rs2_addr:  5, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000080, mem_addr: 00000080, mem_rdata: 00000000, mem_wdata: 00000004
ClkCycle:         14, pc_rdata: 0000005c, pc_wdata: 00000060, insn: 00000297, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 0000005c, mem_addr: 0000005c, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         15, pc_rdata: 00000060, pc_wdata: 00000064, insn: 02428293, mode: 3, rs1_addr:  5, rs1_rdata: 00000004, rs2_addr:  4, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00000080, mem_addr: 00000080, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         16, pc_rdata: 00000064, pc_wdata: 00000068, insn: 34129073, mode: 3, rs1_addr:  5, rs1_rdata: 00000004, rs2_addr:  1, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000100, mem_addr: 00000100, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         17, pc_rdata: 00000068, pc_wdata: 0000006c, insn: f1402573, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 20, rs2_rdata: 00000000, rd_addr: 10, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         18, pc_rdata: 0000006c, pc_wdata: 00000070, insn: 30200073, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  2, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000302, mem_addr: 00000302, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         19, pc_rdata: 00000070, pc_wdata: 00000074, insn: 00000013, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
